ID,Name,Type,Episodes,Aired,Members,Scores
53998,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13,Jul 2023 - Sep 2023,"351,084 members",8.7
1575,Code Geass: Hangyaku no Lelouch,TV,25,Oct 2006 - Jul 2007,"2,356,099 members",8.7
21939,Mushishi Zoku Shou,TV,10,Apr 2014 - Jun 2014,"313,732 members",8.69
40434,Mo Dao Zu Shi: Wanjie Pian,ONA,12,Aug 2021 - Oct 2021,"88,944 members",8.68
57864,Monogatari Series: Off & Monster Season,ONA,14,Jul 2024 - Oct 2024,"86,973 members",8.68
245,Great Teacher Onizuka,TV,43,Jun 1999 - Sep 2000,"872,543 members",8.68
33352,Violet Evergarden,TV,13,Jan 2018 - Apr 2018,"1,888,415 members",8.68
56784,Bleach: Sennen Kessen-hen - Soukoku-tan,TV,14,Oct 2024 - Dec 2024,"226,572 members",8.67
5258,Hajime no Ippo: New Challenger,TV,26,Jan 2009 - Jul 2009,"306,932 members",8.67
431,Howl no Ugoku Shiro,Movie,1,Nov 2004 - Nov 2004,"1,415,935 members",8.67
164,Mononoke Hime,Movie,1,Jul 1997 - Jul 1997,"1,318,665 members",8.66
50399,Tian Guan Cifu Er,ONA,12,Oct 2023 - Jan 2024,"55,168 members",8.66
49413,Shiguang Dailiren II,ONA,12,Jul 2023 - Sep 2023,"143,938 members",8.65
33050,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,Aug 2020 - Aug 2020,"378,588 members",8.65
58125,Look Back,Movie,1,Jun 2024 - Jun 2024,"160,825 members",8.65
457,Mushishi,TV,26,Oct 2005 - Jun 2006,"868,336 members",8.65
46102,Odd Taxi,TV,13,Apr 2021 - Jun 2021,"473,112 members",8.65
34599,Made in Abyss,TV,13,Jul 2017 - Sep 2017,"1,467,505 members",8.64
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,Oct 2021 - Dec 2021,"1,030,655 members",8.64
23273,Shigatsu wa Kimi no Uso,TV,22,Oct 2014 - Mar 2015,"2,313,941 members",8.64
2001,Tengen Toppa Gurren Lagann,TV,27,Apr 2007 - Sep 2007,"1,685,236 members",8.64
35760,Shingeki no Kyojin Season 3,TV,12,Jul 2018 - Oct 2018,"2,512,031 members",8.63
11665,Natsume Yuujinchou Shi,TV,13,Jan 2012 - Mar 2012,"256,616 members",8.63
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,Apr 2020 - Jun 2020,"1,421,474 members",8.62
22135,Ping Pong the Animation,TV,11,Apr 2014 - Jun 2014,"415,972 members",8.62
54898,Bungou Stray Dogs 5th Season,TV,11,Jul 2023 - Sep 2023,"224,103 members",8.62
1535,Death Note,TV,37,Oct 2006 - Jun 2007,"4,088,399 members",8.62
28891,Haikyuu!! Second Season,TV,25,Oct 2015 - Mar 2016,"1,500,335 members",8.62
42310,Cyberpunk: Edgerunners,ONA,10,Sep 2022 - Sep 2022,"896,496 members",8.61
52742,Haikyuu!! Movie: Gomisuteba no Kessen,Movie,1,Feb 2024 - Feb 2024,"181,560 members",8.61
19647,Hajime no Ippo: Rising,TV,25,Oct 2013 - Mar 2014,"279,488 members",8.61
36862,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,Jan 2020 - Jan 2020,"501,212 members",8.61
41084,Made in Abyss: Retsujitsu no Ougonkyou,TV,12,Jul 2022 - Sep 2022,"494,721 members",8.61
34591,Natsume Yuujinchou Roku,TV,11,Apr 2017 - Jun 2017,"197,214 members",8.61
33,Kenpuu Denki Berserk,TV,25,Oct 1997 - Apr 1998,"714,267 members",8.6
52701,Dungeon Meshi,TV,24,Jan 2024 - Jun 2024,"468,854 members",8.6
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,Jun 2019 - Jun 2019,"759,752 members",8.59
7311,Suzumiya Haruhi no Shoushitsu,Movie,1,Feb 2010 - Feb 2010,"630,050 members",8.59
4565,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,Apr 2009 - Apr 2009,"227,809 members",8.59
3786,Shin Evangelion Movie:||,Movie,1,Mar 2021 - Mar 2021,"399,809 members",8.58
52034,[Oshi no Ko],TV,11,Apr 2023 - Jun 2023,"939,293 members",8.58
55791,[Oshi no Ko] 2nd Season,TV,13,Jul 2024 - Oct 2024,"433,116 members",8.58
49701,Doupo Cangqiong: San Nian Zhi Yue,ONA,13,Oct 2021 - Jan 2022,"9,897 members",8.58
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,Oct 2018 - Jul 2019,"1,091,600 members",8.58
28957,Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,May 2015 - May 2015,"135,119 members",8.58
55823,Natsume Yuujinchou Shichi,TV,12,Oct 2024 - Dec 2024,"48,057 members",8.58
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,Oct 2020 - Oct 2020,"1,658,616 members",8.56
31757,Kizumonogatari II: Nekketsu-hen,Movie,1,Aug 2016 - Aug 2016,"468,246 members",8.56
877,Nana,TV,47,Apr 2006 - Mar 2007,"724,557 members",8.56
32983,Natsume Yuujinchou Go,TV,11,Oct 2016 - Dec 2016,"197,607 members",8.56
10379,Natsume Yuujinchou San,TV,13,Jul 2011 - Sep 2011,"263,793 members",8.56
12355,Ookami Kodomo no Ame to Yuki,Movie,1,Jul 2012 - Jul 2012,"841,020 members",8.56
16498,Shingeki no Kyojin,TV,25,Apr 2013 - Sep 2013,"4,143,777 members",8.56
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,1,Jul 1997 - Jul 1997,"983,718 members",8.56
28735,Shouwa Genroku Rakugo Shinjuu,TV,13,Jan 2016 - Apr 2016,"302,486 members",8.55
170,Slam Dunk,TV,101,Oct 1993 - Mar 1996,"320,359 members",8.55
7785,Yojouhan Shinwa Taikei,TV,11,Apr 2010 - Jul 2010,"473,022 members",8.55
40748,Jujutsu Kaisen,TV,24,Oct 2020 - Mar 2021,"2,787,489 members",8.55
36098,Kimi no Suizou wo Tabetai,Movie,1,Sep 2018 - Sep 2018,"1,040,633 members",8.55
437,Perfect Blue,Movie,1,Feb 1998 - Feb 1998,"763,364 members",8.55
40776,Haikyuu!! To the Top Part 2,TV,12,Oct 2020 - Dec 2020,"875,670 members",8.55
11741,Fate/Zero 2nd Season,TV,12,Apr 2012 - Jun 2012,"1,156,284 members",8.54
30484,Steins;Gate 0,TV,23,Apr 2018 - Sep 2018,"913,563 members",8.54
25777,Shingeki no Kyojin Season 2,TV,12,Apr 2017 - Jun 2017,"2,865,925 members",8.53
5300,Zoku Natsume Yuujinchou,TV,13,Jan 2009 - Mar 2009,"258,966 members",8.53
57334,Dandadan,TV,12,Oct 2024 - Dec 2024,"698,838 members",8.53
40417,Fruits Basket 2nd Season,TV,25,Apr 2020 - Sep 2020,"550,069 members",8.53
7472,Gintama Movie 1: Shinyaku Benizakura-hen,Movie,1,Apr 2010 - Apr 2010,"171,347 members",8.53
578,Hotaru no Haka,Movie,1,Apr 1988 - Apr 1988,"720,804 members",8.53
21329,Mushishi: Hihamukage,TV Special,1,Jan 2014 - Jan 2014,"146,645 members",8.53
53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,14,Dec 2022 - Dec 2022,"247,222 members",8.52
60988,Tian Guan Cifu Short Film,ONA,?,Feb 2025 -,"5,910 members",8.52
53447,Tu Bian Yingxiong X,ONA,24,Apr 2025 -,"63,646 members",8.52
12365,Bakuman. 3rd Season,TV,25,Oct 2012 - Mar 2013,"339,500 members",8.52
35843,Gintama. Porori-hen,TV,13,Oct 2017 - Dec 2017,"212,442 members",8.52
4282,Kara no Kyoukai Movie 5: Mujun Rasen,Movie,1,Aug 2008 - Aug 2008,"246,740 members",8.51
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV,26,Jan 2004 - Jan 2005,"234,930 members",8.51
205,Samurai Champloo,TV,26,May 2004 - Mar 2005,"1,294,658 members",8.51
40664,Shoujo☆Kageki Revue Starlight Movie,Movie,1,Jun 2021 - Jun 2021,"23,301 members",8.51
35839,Sora yori mo Tooi Basho,TV,13,Jan 2018 - Mar 2018,"531,394 members",8.51
44070,Tian Guan Cifu Special,ONA,1,Feb 2021 - Feb 2021,"55,597 members",8.5
38474,Yuru Camp△ Season 2,TV,13,Jan 2021 - Apr 2021,"241,368 members",8.5
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,Apr 2016 - Dec 2016,"1,190,714 members",8.5
54857,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,TV,16,Oct 2024 - Mar 2025,"390,232 members",8.5
56538,Kimi ni Todoke 3rd Season,ONA,5,Aug 2024 - Aug 2024,"88,931 members",8.49
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,Oct 2013 - Oct 2013,"399,675 members",8.49
32182,Mob Psycho 100,TV,12,Jul 2016 - Sep 2016,"2,198,659 members",8.49
30276,One Punch Man,TV,12,Oct 2015 - Dec 2015,"3,370,094 members",8.49
40834,Ousama Ranking,TV,23,Oct 2021 - Mar 2022,"704,723 members",8.49
30654,Ansatsu Kyoushitsu 2nd Season,TV,25,Jan 2016 - Jul 2016,"1,503,104 members",8.48
12431,Uchuu Kyoudai,TV,99,Apr 2012 - Mar 2014,"202,983 members",8.48
37779,Yakusoku no Neverland,TV,12,Jan 2019 - Mar 2019,"2,062,507 members",8.48
50265,Spy x Family,TV,12,Apr 2022 - Jun 2022,"1,728,799 members",8.47
47194,Summertime Render,TV,25,Apr 2022 - Sep 2022,"609,944 members",8.47
57647,Uma Musume: Pretty Derby - Shin Jidai no Tobira,Movie,1,May 2024 - May 2024,"12,270 members",8.47
10165,Nichijou,TV,26,Apr 2011 - Sep 2011,"941,325 members",8.47
3297,Aria the Origination,TV,13,Jan 2008 - Apr 2008,"135,965 members",8.47
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,Jan 2019 - Jan 2019,"413,089 members",8.47
36649,Banana Fish,TV,24,Jul 2018 - Dec 2018,"914,815 members",8.46
44511,Chainsaw Man,TV,12,Oct 2022 - Dec 2022,"1,734,993 members",8.46
37379,Chihayafuru 3,TV,24,Oct 2019 - Mar 2020,"149,755 members",8.46
51039,Doupo Cangqiong: Nian Fan,ONA,157,Jul 2022 -,"10,082 members",8.46
44087,Gintama: The Semi-Final,Special,2,Jan 2021 - Jan 2021,"85,425 members",8.46
392,Yuu☆Yuu☆Hakusho,TV,112,Oct 1992 - Jan 1995,"723,688 members",8.46
37208,Mo Dao Zu Shi,ONA,15,Jul 2018 - Oct 2018,"244,044 members",8.46
38450,Mo Dao Zu Shi: Xian Yun Pian,ONA,8,Aug 2019 - Sep 2019,"112,761 members",8.46
6114,Rainbow: Nisha Rokubou no Shichinin,TV,26,Apr 2010 - Sep 2010,"411,376 members",8.46
31181,Owarimonogatari,TV,12,Oct 2015 - Dec 2015,"495,572 members",8.45
35737,Pluto,ONA,8,Oct 2023 - Oct 2023,"211,110 members",8.45
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,Apr 2013 - Apr 2013,"618,413 members",8.45
37105,Grand Blue,TV,12,Jul 2018 - Sep 2018,"831,423 members",8.44
20583,Haikyuu!!,TV,25,Apr 2014 - Sep 2014,"2,073,324 members",8.44
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,TV,24,Jan 2015 - Jun 2015,"1,176,894 members",8.44
38000,Kimetsu no Yaiba,TV,26,Apr 2019 - Sep 2019,"3,235,045 members",8.44
49722,Karakai Jouzu no Takagi-san Movie,Movie,1,Jun 2022 - Jun 2022,"85,968 members",8.43
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12,Jan 2021 - Mar 2021,"984,405 members",8.43
36999,Zoku Owarimonogatari,TV,6,May 2019 - Jun 2019,"241,242 members",8.43
50330,Bungou Stray Dogs 4th Season,TV,13,Jan 2023 - Mar 2023,"327,948 members",8.43
40059,Golden Kamuy 3rd Season,TV,12,Oct 2020 - Dec 2020,"184,606 members",8.43
21899,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,Aug 2012 - Aug 2012,"46,434 members",8.42
136,Hunter x Hunter,TV,62,Oct 1999 - Mar 2001,"619,993 members",8.42
38889,Kono Oto Tomare! Part 2,TV,13,Oct 2019 - Dec 2019,"191,286 members",8.42
467,Koukaku Kidoutai: Stand Alone Complex,TV,26,Oct 2002 - Oct 2003,"411,106 members",8.42
